LAU118CD,girl_count,boy_count
E07000225,Alice,Arthur
E07000226,Amelia,Oliver
E07000227,Isabella,Harry
E07000228,Ivy,Thomas
E07000229,Olivia,Arthur
E07000234,Poppy,Oliver
E07000235,Olivia,Henry
E07000236,Olivia,George
E07000237,Amelia,Arthur
E07000238,Olivia,George
E07000239,Amelia,Harry
E07000240,Charlotte,Oliver
E07000241,Olivia,Oliver
E07000242,Amelia,George
E07000243,Olivia,Jacob
E07000244,Olivia,Freddie
E07000245,Olivia,Noah
E07000246,Amelia,Henry
E08000001,Amelia,Muhammad
E08000002,Ava,Muhammad
E08000003,Amelia,Muhammad
E08000004,Olivia,Muhammad
E08000005,Amelia,Mohammed
E08000006,Olivia,Harry
E08000007,Isla,Oliver
E08000008,Isla,Muhammad
E08000009,Isla,Muhammad
E08000010,Amelia,George
E08000011,Amelia,Leo
E08000012,Isla,Noah
E08000013,Olivia,Harry
E08000014,Amelia,Jacob
E08000015,Olivia,Oliver
E08000016,Amelia,George
E08000017,Olivia,Oliver
E08000018,Isla,Jacob
E08000019,Amelia,Harry
E08000021,Olivia,George
E08000022,Olivia,Harry
E08000023,Olivia,Harry
E08000024,Amelia,Jack
E08000025,Amelia,Muhammad
E08000026,Olivia,Leo
E08000027,Amelia,Harry
E08000028,Amelia,Muhammad
E08000029,Ava,Leo
E08000030,Amelia,Muhammad
E08000031,Olivia,Harry
E08000032,Amelia,Muhammad
E08000033,Amelia,Muhammad
E08000034,Ava,Muhammad
E08000035,Amelia,George
E08000036,Olivia,Oliver
E08000037,Olivia,Jack
E09000001,Abigail,Adam
E09000002,Olivia,Muhammad
E09000003,Maya,David
E09000004,Olivia,George
E09000005,Sofia,Adam
E09000006,Olivia,Jack
E09000007,Amelia,Alexander
E09000008,Amelia,Muhammad
E09000009,Amelia,Adam
E09000010,Sophia,Alexander
E09000011,Olivia,David
E09000012,Maya,David
E09000013,Olivia,Leo
E09000014,Sophia,Leo
E09000015,Sofia,David
E09000016,Amelia,George
E09000017,Sophia,Muhammad
E09000018,Amelia,Muhammad
E09000019,Olivia,Henry
E09000020,Mia,Alexander
E09000021,Olivia,Leo
E09000022,Amelia,Leo
E09000023,Olivia,Noah
E09000024,Olivia,Alexander
E09000025,Maryam,Muhammad
E09000026,Sofia,Muhammad
E09000027,Olivia,Oliver
E09000028,Isabella,Leo
E09000029,Isla,Oliver
E09000030,Maryam,Mohammed
E09000031,Olivia,Muhammad
E09000032,Olivia,Oscar
E09000033,Maya,Alexander
W06000001,Mia,Noah
W06000002,Mia,Noah
W06000003,Elsie,Oliver
W06000004,Olivia,Harry
W06000005,Olivia,Noah
W06000006,Ava,Leo
W06000008,Eleanor,Oliver
W06000009,Florence,Noah
W06000010,Olivia,Oliver
W06000011,Olivia,Oliver
W06000012,Olivia,Oliver
W06000013,Olivia,Jacob
W06000014,Olivia,Noah
W06000015,Olivia,Oliver
W06000016,Olivia,Oliver
W06000018,Amelia,Noah
W06000019,Olivia,Oliver
W06000020,Olivia,Harry
W06000021,Olivia,George
W06000022,Isla,Noah
W06000023,Olivia,Oliver
W06000024,Ella,Noah
